"Job Title","Date","float_Billable_Hours","Capacity"
"Software Developer  -  Business Applications (DDS)",2020-04-12,0,32
"Software Engineer  -  Business Applications (DDS)",2020-04-12,0,24
"Sr. Consultant  -  Business Applications (DDS)",2020-04-12,0,8
"Sr. Consultant  -  Business Intelligence (DDS)",2020-04-12,0,8
"Sr. Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-12,0,16
"Sr. Consultant  -  Data Architecture (DDS)",2020-04-12,0,8
"Sr. Data Engineer  -  Data Architecture (DDS)",2020-04-12,0,8
"Sr. Data Scientist  -  Data Science (DDS)",2020-04-12,0,24
"Sr. Software Architect  -  Business Applications (DDS)",2020-04-12,0,16
"Sr. Software Developer  -  Business Applications (DDS)",2020-04-12,0,8
"Sr. Software Engineer  -  Business Applications (DDS)",2020-04-12,0,24
"Tableau Developer  -  Business Intelligence (DDS)",2020-04-12,0,8
"Technical Delivery Lead  -  Data & Development Services (DDS) - Solution Delivery",2020-04-12,0,8
"Technical Delivery Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-12,0,8
"Technical Writer  -  Business Applications (DDS)",2020-04-12,0,8
"Web Developer  -  Business Applications (DDS)",2020-04-12,0,16
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-04-13,0,16
"Associate Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-13,0,8
"BI  Consultant  -  Business Intelligence (DDS)",2020-04-13,9,40
"Business Analyst  -  Business Applications (DDS)",2020-04-13,8,8
"Data Architect  -  Data Architecture (DDS)",2020-04-13,18,32
"Data Engineer  -  Data Architecture (DDS)",2020-04-13,51.5,88
"Data Science Team Lead  -  Data Science (DDS)",2020-04-13,6.25,8
"Data Scientist  -  Data Science (DDS)",2020-04-13,36.25,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-04-13,4,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-04-13,0,16
"Jr. Software Developer  -  Business Applications (DDS)",2020-04-13,8,8
"Jr. Software Engineer  -  Business Applications (DDS)",2020-04-13,8,8
"Jr. Web Developer  -  Business Applications (DDS)",2020-04-13,14,16
"Practice Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-13,6,8
"Project Coordinator  -  Data & Development Services (DDS) - Solution Delivery",2020-04-13,5,8
"QA Engineer  -  Business Applications (DDS)",2020-04-13,17,24
"Quality Engineer  -  Business Applications (DDS)",2020-04-13,0,16
"Senior BI Developer  -  Business Intelligence (DDS)",2020-04-13,8,8
"Senior DevOps Engineer  -  Business Applications (DDS)",2020-04-13,10,8
"Software Developer  -  Business Applications (DDS)",2020-04-13,8,32
"Software Engineer  -  Business Applications (DDS)",2020-04-13,16,24
"Sr. Consultant  -  Business Applications (DDS)",2020-04-13,0.5,8
"Sr. Consultant  -  Business Intelligence (DDS)",2020-04-13,0,8
"Sr. Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-13,6,16
"Sr. Consultant  -  Data Architecture (DDS)",2020-04-13,4,8
"Sr. Data Engineer  -  Data Architecture (DDS)",2020-04-13,6.25,8
"Sr. Data Scientist  -  Data Science (DDS)",2020-04-13,12,24
"Sr. Software Architect  -  Business Applications (DDS)",2020-04-13,13.5,16
"Sr. Software Developer  -  Business Applications (DDS)",2020-04-13,8,8
"Sr. Software Engineer  -  Business Applications (DDS)",2020-04-13,8.75,24
"Tableau Developer  -  Business Intelligence (DDS)",2020-04-13,4.5,8
"Technical Delivery Lead  -  Data & Development Services (DDS) - Solution Delivery",2020-04-13,0,8
"Technical Delivery Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-13,0,8
"Technical Writer  -  Business Applications (DDS)",2020-04-13,0,8
"Web Developer  -  Business Applications (DDS)",2020-04-13,14.5,16
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-04-14,0,16
"Associate Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-14,0,8
"BI  Consultant  -  Business Intelligence (DDS)",2020-04-14,9,40
"Business Analyst  -  Business Applications (DDS)",2020-04-14,8,8
"Data Architect  -  Data Architecture (DDS)",2020-04-14,18,32
"Data Engineer  -  Data Architecture (DDS)",2020-04-14,51.5,88
"Data Science Team Lead  -  Data Science (DDS)",2020-04-14,6.25,8
"Data Scientist  -  Data Science (DDS)",2020-04-14,36.25,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-04-14,4,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-04-14,0,16
"Jr. Software Developer  -  Business Applications (DDS)",2020-04-14,8,8
"Jr. Software Engineer  -  Business Applications (DDS)",2020-04-14,8,8
"Jr. Web Developer  -  Business Applications (DDS)",2020-04-14,14,16
"Practice Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-14,6,8
"Project Coordinator  -  Data & Development Services (DDS) - Solution Delivery",2020-04-14,5,8
"QA Engineer  -  Business Applications (DDS)",2020-04-14,17,24
"Quality Engineer  -  Business Applications (DDS)",2020-04-14,0,16
"Senior BI Developer  -  Business Intelligence (DDS)",2020-04-14,8,8
"Senior DevOps Engineer  -  Business Applications (DDS)",2020-04-14,10,8
"Software Developer  -  Business Applications (DDS)",2020-04-14,8,32
"Software Engineer  -  Business Applications (DDS)",2020-04-14,16,24
"Sr. Consultant  -  Business Applications (DDS)",2020-04-14,0.5,8
"Sr. Consultant  -  Business Intelligence (DDS)",2020-04-14,0,8
"Sr. Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-14,6,16
"Sr. Consultant  -  Data Architecture (DDS)",2020-04-14,4,8
"Sr. Data Engineer  -  Data Architecture (DDS)",2020-04-14,6.25,8
"Sr. Data Scientist  -  Data Science (DDS)",2020-04-14,12,24
"Sr. Software Architect  -  Business Applications (DDS)",2020-04-14,13.5,16
"Sr. Software Developer  -  Business Applications (DDS)",2020-04-14,8,8
"Sr. Software Engineer  -  Business Applications (DDS)",2020-04-14,8.75,24
"Tableau Developer  -  Business Intelligence (DDS)",2020-04-14,4.5,8
"Technical Delivery Lead  -  Data & Development Services (DDS) - Solution Delivery",2020-04-14,0,8
"Technical Delivery Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-14,8,8
"Technical Writer  -  Business Applications (DDS)",2020-04-14,0,8
"Web Developer  -  Business Applications (DDS)",2020-04-14,14.5,16
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-04-15,0,16
"Associate Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-15,0,8
"BI  Consultant  -  Business Intelligence (DDS)",2020-04-15,9,40
"Business Analyst  -  Business Applications (DDS)",2020-04-15,8,8
"Data Architect  -  Data Architecture (DDS)",2020-04-15,18,32
"Data Engineer  -  Data Architecture (DDS)",2020-04-15,51.5,88
"Data Science Team Lead  -  Data Science (DDS)",2020-04-15,6.25,8
"Data Scientist  -  Data Science (DDS)",2020-04-15,36.25,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-04-15,4,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-04-15,0,16
"Jr. Software Developer  -  Business Applications (DDS)",2020-04-15,8,8
"Jr. Software Engineer  -  Business Applications (DDS)",2020-04-15,8,8
"Jr. Web Developer  -  Business Applications (DDS)",2020-04-15,14,16
"Practice Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-15,6,8
"Project Coordinator  -  Data & Development Services (DDS) - Solution Delivery",2020-04-15,5,8
"QA Engineer  -  Business Applications (DDS)",2020-04-15,17,24
"Quality Engineer  -  Business Applications (DDS)",2020-04-15,0,16
"Senior BI Developer  -  Business Intelligence (DDS)",2020-04-15,8,8
"Senior DevOps Engineer  -  Business Applications (DDS)",2020-04-15,10,8
"Software Developer  -  Business Applications (DDS)",2020-04-15,8,32
"Software Engineer  -  Business Applications (DDS)",2020-04-15,16,24
"Sr. Consultant  -  Business Applications (DDS)",2020-04-15,0.5,8
"Sr. Consultant  -  Business Intelligence (DDS)",2020-04-15,0,8
"Sr. Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-15,6,16
"Sr. Consultant  -  Data Architecture (DDS)",2020-04-15,4,8
"Sr. Data Engineer  -  Data Architecture (DDS)",2020-04-15,6.25,8
"Sr. Data Scientist  -  Data Science (DDS)",2020-04-15,12,24
"Sr. Software Architect  -  Business Applications (DDS)",2020-04-15,13.5,16
"Sr. Software Developer  -  Business Applications (DDS)",2020-04-15,8,8
"Sr. Software Engineer  -  Business Applications (DDS)",2020-04-15,8.75,24
"Tableau Developer  -  Business Intelligence (DDS)",2020-04-15,4.5,8
"Technical Delivery Lead  -  Data & Development Services (DDS) - Solution Delivery",2020-04-15,0,8
"Technical Delivery Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-15,8,8
"Technical Writer  -  Business Applications (DDS)",2020-04-15,0,8
"Web Developer  -  Business Applications (DDS)",2020-04-15,14.5,16
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-04-16,0,16
"Associate Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-16,0,8
"BI  Consultant  -  Business Intelligence (DDS)",2020-04-16,9,40
"Business Analyst  -  Business Applications (DDS)",2020-04-16,8,8
"Data Architect  -  Data Architecture (DDS)",2020-04-16,18,32
"Data Engineer  -  Data Architecture (DDS)",2020-04-16,51.5,88
"Data Science Team Lead  -  Data Science (DDS)",2020-04-16,6.25,8
"Data Scientist  -  Data Science (DDS)",2020-04-16,36.25,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-04-16,4,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-04-16,0,16
"Jr. Software Developer  -  Business Applications (DDS)",2020-04-16,8,8
"Jr. Software Engineer  -  Business Applications (DDS)",2020-04-16,8,8
"Jr. Web Developer  -  Business Applications (DDS)",2020-04-16,14,16
"Practice Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-16,6,8
"Project Coordinator  -  Data & Development Services (DDS) - Solution Delivery",2020-04-16,5,8
"QA Engineer  -  Business Applications (DDS)",2020-04-16,17,24
"Quality Engineer  -  Business Applications (DDS)",2020-04-16,0,16
"Senior BI Developer  -  Business Intelligence (DDS)",2020-04-16,8,8
"Senior DevOps Engineer  -  Business Applications (DDS)",2020-04-16,10,8
"Software Developer  -  Business Applications (DDS)",2020-04-16,8,32
"Software Engineer  -  Business Applications (DDS)",2020-04-16,16,24
"Sr. Consultant  -  Business Applications (DDS)",2020-04-16,0.5,8
"Sr. Consultant  -  Business Intelligence (DDS)",2020-04-16,0,8
"Sr. Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-16,6,16
"Sr. Consultant  -  Data Architecture (DDS)",2020-04-16,4,8
"Sr. Data Engineer  -  Data Architecture (DDS)",2020-04-16,6.25,8
"Sr. Data Scientist  -  Data Science (DDS)",2020-04-16,12,24
"Sr. Software Architect  -  Business Applications (DDS)",2020-04-16,13.5,16
"Sr. Software Developer  -  Business Applications (DDS)",2020-04-16,8,8
"Sr. Software Engineer  -  Business Applications (DDS)",2020-04-16,8.75,24
"Tableau Developer  -  Business Intelligence (DDS)",2020-04-16,4.5,8
"Technical Delivery Lead  -  Data & Development Services (DDS) - Solution Delivery",2020-04-16,0,8
"Technical Delivery Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-16,8,8
"Technical Writer  -  Business Applications (DDS)",2020-04-16,0,8
"Web Developer  -  Business Applications (DDS)",2020-04-16,14.5,16
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-04-17,0,16
"Associate Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-17,0,8
"BI  Consultant  -  Business Intelligence (DDS)",2020-04-17,9,40
"Business Analyst  -  Business Applications (DDS)",2020-04-17,8,8
"Data Architect  -  Data Architecture (DDS)",2020-04-17,18,32
"Data Engineer  -  Data Architecture (DDS)",2020-04-17,51.5,88
"Data Science Team Lead  -  Data Science (DDS)",2020-04-17,6.25,8
"Data Scientist  -  Data Science (DDS)",2020-04-17,36.25,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-04-17,4,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-04-17,0,16
"Jr. Software Developer  -  Business Applications (DDS)",2020-04-17,8,8
"Jr. Software Engineer  -  Business Applications (DDS)",2020-04-17,8,8
"Jr. Web Developer  -  Business Applications (DDS)",2020-04-17,14,16
"Practice Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-17,6,8
"Project Coordinator  -  Data & Development Services (DDS) - Solution Delivery",2020-04-17,5,8
"QA Engineer  -  Business Applications (DDS)",2020-04-17,17,24
"Quality Engineer  -  Business Applications (DDS)",2020-04-17,0,16
"Senior BI Developer  -  Business Intelligence (DDS)",2020-04-17,8,8
"Senior DevOps Engineer  -  Business Applications (DDS)",2020-04-17,10,8
"Software Developer  -  Business Applications (DDS)",2020-04-17,8,32
"Software Engineer  -  Business Applications (DDS)",2020-04-17,16,24
"Sr. Consultant  -  Business Applications (DDS)",2020-04-17,0.5,8
"Sr. Consultant  -  Business Intelligence (DDS)",2020-04-17,0,8
"Sr. Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-17,6,16
"Sr. Consultant  -  Data Architecture (DDS)",2020-04-17,4,8
"Sr. Data Engineer  -  Data Architecture (DDS)",2020-04-17,6.25,8
"Sr. Data Scientist  -  Data Science (DDS)",2020-04-17,12,24
"Sr. Software Architect  -  Business Applications (DDS)",2020-04-17,13.5,16
"Sr. Software Developer  -  Business Applications (DDS)",2020-04-17,8,8
"Sr. Software Engineer  -  Business Applications (DDS)",2020-04-17,8.75,24
"Tableau Developer  -  Business Intelligence (DDS)",2020-04-17,4.5,8
"Technical Delivery Lead  -  Data & Development Services (DDS) - Solution Delivery",2020-04-17,0,8
"Technical Delivery Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-17,8,8
"Technical Writer  -  Business Applications (DDS)",2020-04-17,0,8
"Web Developer  -  Business Applications (DDS)",2020-04-17,14.5,16
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-04-18,0,16
"Associate Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-18,0,8
"BI  Consultant  -  Business Intelligence (DDS)",2020-04-18,0,40
"Business Analyst  -  Business Applications (DDS)",2020-04-18,0,8
"Data Architect  -  Data Architecture (DDS)",2020-04-18,0,32
"Data Engineer  -  Data Architecture (DDS)",2020-04-18,0,88
"Data Science Team Lead  -  Data Science (DDS)",2020-04-18,0,8
"Data Scientist  -  Data Science (DDS)",2020-04-18,0,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-04-18,0,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-04-18,0,16
"Jr. Software Developer  -  Business Applications (DDS)",2020-04-18,0,8
"Jr. Software Engineer  -  Business Applications (DDS)",2020-04-18,0,8
"Jr. Web Developer  -  Business Applications (DDS)",2020-04-18,0,16
"Practice Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-18,0,8
"Project Coordinator  -  Data & Development Services (DDS) - Solution Delivery",2020-04-18,0,8
"QA Engineer  -  Business Applications (DDS)",2020-04-18,0,24
"Quality Engineer  -  Business Applications (DDS)",2020-04-18,0,16
"Senior BI Developer  -  Business Intelligence (DDS)",2020-04-18,0,8
"Senior DevOps Engineer  -  Business Applications (DDS)",2020-04-18,0,8
"Software Developer  -  Business Applications (DDS)",2020-04-18,0,32
"Software Engineer  -  Business Applications (DDS)",2020-04-18,0,24
"Sr. Consultant  -  Business Applications (DDS)",2020-04-18,0,8
"Sr. Consultant  -  Business Intelligence (DDS)",2020-04-18,0,8
"Sr. Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-18,0,16
"Sr. Consultant  -  Data Architecture (DDS)",2020-04-18,0,8
"Sr. Data Engineer  -  Data Architecture (DDS)",2020-04-18,0,8
"Sr. Data Scientist  -  Data Science (DDS)",2020-04-18,0,24
"Sr. Software Architect  -  Business Applications (DDS)",2020-04-18,0,16
"Sr. Software Developer  -  Business Applications (DDS)",2020-04-18,0,8
"Sr. Software Engineer  -  Business Applications (DDS)",2020-04-18,0,24
"Tableau Developer  -  Business Intelligence (DDS)",2020-04-18,0,8
"Technical Delivery Lead  -  Data & Development Services (DDS) - Solution Delivery",2020-04-18,0,8
"Technical Delivery Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-18,0,8
"Technical Writer  -  Business Applications (DDS)",2020-04-18,0,8
"Web Developer  -  Business Applications (DDS)",2020-04-18,0,16
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-04-19,0,16
"Associate Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-19,0,8
"BI  Consultant  -  Business Intelligence (DDS)",2020-04-19,0,40
"Business Analyst  -  Business Applications (DDS)",2020-04-19,0,8
"Data Architect  -  Data Architecture (DDS)",2020-04-19,0,32
"Data Engineer  -  Data Architecture (DDS)",2020-04-19,0,88
"Data Science Team Lead  -  Data Science (DDS)",2020-04-19,0,8
"Data Scientist  -  Data Science (DDS)",2020-04-19,0,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-04-19,0,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-04-19,0,16
"Jr. Software Developer  -  Business Applications (DDS)",2020-04-19,0,8
"Jr. Software Engineer  -  Business Applications (DDS)",2020-04-19,0,8
"Jr. Web Developer  -  Business Applications (DDS)",2020-04-19,0,16
"Practice Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-19,0,8
"Project Coordinator  -  Data & Development Services (DDS) - Solution Delivery",2020-04-19,0,8
"QA Engineer  -  Business Applications (DDS)",2020-04-19,0,24
"Quality Engineer  -  Business Applications (DDS)",2020-04-19,0,16
"Senior BI Developer  -  Business Intelligence (DDS)",2020-04-19,0,8
"Senior DevOps Engineer  -  Business Applications (DDS)",2020-04-19,0,8
"Software Developer  -  Business Applications (DDS)",2020-04-19,0,32
"Software Engineer  -  Business Applications (DDS)",2020-04-19,0,24
"Sr. Consultant  -  Business Applications (DDS)",2020-04-19,0,8
"Sr. Consultant  -  Business Intelligence (DDS)",2020-04-19,0,8
"Sr. Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-19,0,16
"Sr. Consultant  -  Data Architecture (DDS)",2020-04-19,0,8
"Sr. Data Engineer  -  Data Architecture (DDS)",2020-04-19,0,8
"Sr. Data Scientist  -  Data Science (DDS)",2020-04-19,0,24
"Sr. Software Architect  -  Business Applications (DDS)",2020-04-19,0,16
"Sr. Software Developer  -  Business Applications (DDS)",2020-04-19,0,8
"Sr. Software Engineer  -  Business Applications (DDS)",2020-04-19,0,24
"Tableau Developer  -  Business Intelligence (DDS)",2020-04-19,0,8
"Technical Delivery Lead  -  Data & Development Services (DDS) - Solution Delivery",2020-04-19,0,8
"Technical Delivery Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-19,0,8
"Technical Writer  -  Business Applications (DDS)",2020-04-19,0,8
"Web Developer  -  Business Applications (DDS)",2020-04-19,0,16
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-04-20,0,16
"Associate Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-20,0,8
"BI  Consultant  -  Business Intelligence (DDS)",2020-04-20,9,40
"Business Analyst  -  Business Applications (DDS)",2020-04-20,8,8
"Data Architect  -  Data Architecture (DDS)",2020-04-20,16,32
"Data Engineer  -  Data Architecture (DDS)",2020-04-20,51.25,88
"Data Science Team Lead  -  Data Science (DDS)",2020-04-20,6.25,8
"Data Scientist  -  Data Science (DDS)",2020-04-20,40.25,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-04-20,4,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-04-20,0,16
"Jr. Software Developer  -  Business Applications (DDS)",2020-04-20,8,8
"Jr. Software Engineer  -  Business Applications (DDS)",2020-04-20,8,8
"Jr. Web Developer  -  Business Applications (DDS)",2020-04-20,12,16
"Practice Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-20,6,8
"Project Coordinator  -  Data & Development Services (DDS) - Solution Delivery",2020-04-20,5,8
"QA Engineer  -  Business Applications (DDS)",2020-04-20,17,24
"Quality Engineer  -  Business Applications (DDS)",2020-04-20,0,16
"Senior BI Developer  -  Business Intelligence (DDS)",2020-04-20,8,8
"Senior DevOps Engineer  -  Business Applications (DDS)",2020-04-20,10,8
"Software Developer  -  Business Applications (DDS)",2020-04-20,8,32
"Software Engineer  -  Business Applications (DDS)",2020-04-20,16,24
"Sr. Consultant  -  Business Applications (DDS)",2020-04-20,0.5,8
"Sr. Consultant  -  Business Intelligence (DDS)",2020-04-20,0,8
"Sr. Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-20,6,16
"Sr. Consultant  -  Data Architecture (DDS)",2020-04-20,2,8
"Sr. Data Engineer  -  Data Architecture (DDS)",2020-04-20,4.75,8
"Sr. Data Scientist  -  Data Science (DDS)",2020-04-20,12,24
"Sr. Software Architect  -  Business Applications (DDS)",2020-04-20,13,16
"Sr. Software Developer  -  Business Applications (DDS)",2020-04-20,8,8
"Sr. Software Engineer  -  Business Applications (DDS)",2020-04-20,8,24
"Tableau Developer  -  Business Intelligence (DDS)",2020-04-20,4.5,8
"Technical Delivery Lead  -  Data & Development Services (DDS) - Solution Delivery",2020-04-20,0,8
"Technical Delivery Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-20,8,8
"Technical Writer  -  Business Applications (DDS)",2020-04-20,0,8
"Web Developer  -  Business Applications (DDS)",2020-04-20,14.5,16
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-04-21,0,16
"Associate Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-21,0,8
"BI  Consultant  -  Business Intelligence (DDS)",2020-04-21,9,40
"Business Analyst  -  Business Applications (DDS)",2020-04-21,8,8
"Data Architect  -  Data Architecture (DDS)",2020-04-21,16,32
"Data Engineer  -  Data Architecture (DDS)",2020-04-21,51.25,88
"Data Science Team Lead  -  Data Science (DDS)",2020-04-21,6.25,8
"Data Scientist  -  Data Science (DDS)",2020-04-21,40.25,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-04-21,4,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-04-21,0,16
"Jr. Software Developer  -  Business Applications (DDS)",2020-04-21,8,8
"Jr. Software Engineer  -  Business Applications (DDS)",2020-04-21,8,8
"Jr. Web Developer  -  Business Applications (DDS)",2020-04-21,12,16
"Practice Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-21,6,8
"Project Coordinator  -  Data & Development Services (DDS) - Solution Delivery",2020-04-21,5,8
"QA Engineer  -  Business Applications (DDS)",2020-04-21,17,24
"Quality Engineer  -  Business Applications (DDS)",2020-04-21,0,16
"Senior BI Developer  -  Business Intelligence (DDS)",2020-04-21,8,8
"Senior DevOps Engineer  -  Business Applications (DDS)",2020-04-21,10,8
"Software Developer  -  Business Applications (DDS)",2020-04-21,8,32
"Software Engineer  -  Business Applications (DDS)",2020-04-21,16,24
"Sr. Consultant  -  Business Applications (DDS)",2020-04-21,0.5,8
"Sr. Consultant  -  Business Intelligence (DDS)",2020-04-21,0,8
"Sr. Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-21,6,16
"Sr. Consultant  -  Data Architecture (DDS)",2020-04-21,2,8
"Sr. Data Engineer  -  Data Architecture (DDS)",2020-04-21,4.75,8
"Sr. Data Scientist  -  Data Science (DDS)",2020-04-21,12,24
"Sr. Software Architect  -  Business Applications (DDS)",2020-04-21,13,16
"Sr. Software Developer  -  Business Applications (DDS)",2020-04-21,8,8
"Sr. Software Engineer  -  Business Applications (DDS)",2020-04-21,8,24
"Tableau Developer  -  Business Intelligence (DDS)",2020-04-21,4.5,8
"Technical Delivery Lead  -  Data & Development Services (DDS) - Solution Delivery",2020-04-21,0,8
"Technical Delivery Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-21,8,8
"Technical Writer  -  Business Applications (DDS)",2020-04-21,0,8
"Web Developer  -  Business Applications (DDS)",2020-04-21,14.5,16
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-04-22,0,16
"Associate Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-22,0,8
"BI  Consultant  -  Business Intelligence (DDS)",2020-04-22,9,40
"Business Analyst  -  Business Applications (DDS)",2020-04-22,8,8
"Data Architect  -  Data Architecture (DDS)",2020-04-22,16,32
"Data Engineer  -  Data Architecture (DDS)",2020-04-22,51.25,88
"Data Science Team Lead  -  Data Science (DDS)",2020-04-22,6.25,8
"Data Scientist  -  Data Science (DDS)",2020-04-22,40.25,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-04-22,4,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-04-22,0,16
"Jr. Software Developer  -  Business Applications (DDS)",2020-04-22,8,8
"Jr. Software Engineer  -  Business Applications (DDS)",2020-04-22,8,8
"Jr. Web Developer  -  Business Applications (DDS)",2020-04-22,12,16
"Practice Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-22,6,8
"Project Coordinator  -  Data & Development Services (DDS) - Solution Delivery",2020-04-22,5,8
"QA Engineer  -  Business Applications (DDS)",2020-04-22,17,24
"Quality Engineer  -  Business Applications (DDS)",2020-04-22,0,16
"Senior BI Developer  -  Business Intelligence (DDS)",2020-04-22,8,8
"Senior DevOps Engineer  -  Business Applications (DDS)",2020-04-22,10,8
"Software Developer  -  Business Applications (DDS)",2020-04-22,8,32
"Software Engineer  -  Business Applications (DDS)",2020-04-22,16,24
"Sr. Consultant  -  Business Applications (DDS)",2020-04-22,0.5,8
"Sr. Consultant  -  Business Intelligence (DDS)",2020-04-22,0,8
"Sr. Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-22,6,16
"Sr. Consultant  -  Data Architecture (DDS)",2020-04-22,2,8
"Sr. Data Engineer  -  Data Architecture (DDS)",2020-04-22,4.75,8
"Sr. Data Scientist  -  Data Science (DDS)",2020-04-22,12,24
"Sr. Software Architect  -  Business Applications (DDS)",2020-04-22,13,16
"Sr. Software Developer  -  Business Applications (DDS)",2020-04-22,8,8
"Sr. Software Engineer  -  Business Applications (DDS)",2020-04-22,8,24
"Tableau Developer  -  Business Intelligence (DDS)",2020-04-22,4.5,8
"Technical Delivery Lead  -  Data & Development Services (DDS) - Solution Delivery",2020-04-22,0,8
"Technical Delivery Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-22,8,8
"Technical Writer  -  Business Applications (DDS)",2020-04-22,0,8
"Web Developer  -  Business Applications (DDS)",2020-04-22,14.5,16
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-04-23,0,16
"Associate Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-04-23,0,8
"BI  Consultant  -  Business Intelligence (DDS)",2020-04-23,9,40
"Business Analyst  -  Business Applications (DDS)",2020-04-23,8,8
"Data Architect  -  Data Architecture (DDS)",2020-04-23,16,32
"Data Engineer  -  Data Architecture (DDS)",2020-04-23,51.25,88
"Data Science Team Lead  -  Data Science (DDS)",2020-04-23,6.25,8
"Data Scientist  -  Data Science (DDS)",2020-04-23,40.25,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-04-23,4,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-04-23,0,16
"Jr. Software Developer  -  Business Applications (DDS)",2020-04-23,8,8
"Jr. Software Engineer  -  Business Applications (DDS)",2020-04-23,8,8
"Jr. Web Developer  -  Business Applications (DDS)",2020-04-23,12,16
"Practice Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-04-23,6,8
"Project Coordinator  -  Data & Development Services (DDS) - Solution Delivery",2020-04-23,5,8
"QA Engineer  -  Business Applications (DDS)",2020-04-23,17,24
"Quality Engineer  -  Business Applications (DDS)",2020-04-23,0,16
"Senior BI Developer  -  Business Intelligence (DDS)",2020-04-23,8,8
"Senior DevOps Engineer  -  Business Applications (DDS)",2020-04-23,10,8
